Wheat (Wet), 17,16,15,12
Wheat (Dry), 14,13,12,10
Barley (Dry), 10,9,8,7
Oats (Dry), 8,7,6,5
Corn (Wet), 19,18,16,14
Corn (Dry), 14,13,12,10
Rice (Wet), 19,18,17,14
Sunflower (Wet), 18,14,12,10
Sunflower (Dry), 10,9,8,7
Potatoes (Wet), 17,16,14,12
S. Beet (Wet), 15,14,12,10
S. Beet (Dry), 11,10,9,8
Bond (Wet), 14,12,11,10
Bond (Dry), 10,9,8,7
Fruit (Wet), 12,10,8,7
Vegetables (Wet), 16,14,12,10
Poplar (Wet), 15,14,12,10
K. Onion (Wet), 15,14,12,10
K. Onion (Dry), 10,9,8,7
Orchard (Wet), 13,11,9,8
Orchard (Dry), 9,8,7,6
Tobacco (Dry), 5,4,3,3
Pumpkin (Core) (Wet), 10,9,8,7
Olive (Dry), 10,9,8,7
Canola (Dry), 14,13,12,10
